Plan_Capacity,Man_power,SHIFT,Total_Down_time,Material_Loss,Has_downtime,Material_Issue,Prev_Day_Completion,Prev_Day_Downtime,Actual_Qty
237,14,1.0,0,0,0,0,100.0,0,237
13,5,0.5,225,225,1,1,100.0,0,13
20,0,0.0,20,0,1,0,100.0,0,19
23,2,0.5,0,0,0,0,83.8,0,23
193,14,1.0,30,0,1,0,100.0,0,175
9,5,0.5,450,450,1,1,100.0,225,2
237,14,1.0,0,0,0,0,100.0,0,237
48,7,1.0,0,0,0,0,100.0,0,48
23,2,0.5,0,0,0,0,83.8,0,23
23,2,0.5,0,0,0,0,83.8,0,23
9,5,0.5,450,450,1,1,100.0,225,2
26,14,1.0,0,0,0,0,100.0,0,26
193,14,1.0,30,0,1,0,100.0,0,175
61,0,0.0,0,0,0,0,100.0,0,61
59,4,1.0,0,0,0,0,100.0,0,59
9,5,0.5,450,450,1,1,100.0,225,2
179,14,1.0,0,0,0,0,100.0,0,179
39,7,0.5,0,0,0,0,100.0,0,39
92,14,1.0,0,0,0,0,100.0,0,92
179,14,1.0,0,0,0,0,100.0,0,179
9,5,0.5,450,450,1,1,100.0,225,2
142,9,0.5,0,0,0,0,100.0,0,142
39,7,0.5,0,0,0,0,100.0,0,39
59,4,1.0,0,0,0,0,100.0,0,59
39,7,0.5,0,0,0,0,100.0,0,39
350,14,1.0,0,0,0,0,100.0,0,348
130,14,1.0,0,0,0,0,90.7,0,109
2,11,1.0,0,0,0,0,95.0,20,2
20,0,0.0,20,0,1,0,100.0,0,19
20,0,0.0,20,0,1,0,100.0,0,19
48,7,1.0,0,0,0,0,100.0,0,48
39,7,0.5,0,0,0,0,100.0,0,39
13,5,0.5,225,225,1,1,100.0,0,13
61,0,0.0,0,0,0,0,100.0,0,61
63,0,0.0,0,0,0,0,100.0,0,63
48,7,1.0,0,0,0,0,100.0,0,48
237,14,1.0,0,0,0,0,100.0,0,237
9,5,0.5,450,450,1,1,100.0,225,2
38,0,1.0,0,0,0,0,90.7,30,38
237,14,1.0,0,0,0,0,100.0,0,237
22,7,0.5,0,0,0,0,100.0,0,22
26,14,1.0,0,0,0,0,100.0,0,26
20,7,0.5,0,0,0,0,100.0,0,20
22,7,0.5,0,0,0,0,100.0,0,22
38,0,1.0,0,0,0,0,90.7,30,38
9,5,0.5,450,450,1,1,100.0,225,2
179,14,1.0,0,0,0,0,100.0,0,179
13,5,0.5,225,225,1,1,100.0,0,13
20,0,0.0,20,0,1,0,100.0,0,19
237,14,1.0,0,0,0,0,100.0,0,237
39,7,0.5,0,0,0,0,100.0,0,39
193,14,1.0,30,0,1,0,100.0,0,175
20,0,0.0,20,0,1,0,100.0,0,19
61,0,0.0,0,0,0,0,100.0,0,61
20,7,0.5,0,0,0,0,100.0,0,20
350,14,1.0,0,0,0,0,100.0,0,348
26,14,1.0,0,0,0,0,100.0,0,26
22,7,0.5,0,0,0,0,100.0,0,22
193,14,1.0,30,0,1,0,100.0,0,175
26,14,1.0,0,0,0,0,100.0,0,26
179,14,1.0,0,0,0,0,100.0,0,179
92,14,1.0,0,0,0,0,100.0,0,92
59,4,1.0,0,0,0,0,100.0,0,59
130,14,1.0,0,0,0,0,90.7,0,109
26,14,1.0,0,0,0,0,100.0,0,26
59,4,1.0,0,0,0,0,100.0,0,59
22,7,0.5,0,0,0,0,100.0,0,22
39,7,0.5,0,0,0,0,100.0,0,39
179,14,1.0,0,0,0,0,100.0,0,179
130,14,1.0,0,0,0,0,90.7,0,109
26,14,1.0,0,0,0,0,100.0,0,26
20,7,0.5,0,0,0,0,100.0,0,20
2,11,1.0,0,0,0,0,95.0,20,2
20,0,0.0,20,0,1,0,100.0,0,19
193,14,1.0,30,0,1,0,100.0,0,175
20,7,0.5,0,0,0,0,100.0,0,20
193,14,1.0,30,0,1,0,100.0,0,175
9,5,0.5,450,450,1,1,100.0,225,2
2,11,1.0,0,0,0,0,95.0,20,2
6,0,0.0,0,0,0,0,100.0,0,6
22,7,0.5,0,0,0,0,100.0,0,22
20,0,0.0,20,0,1,0,100.0,0,19
9,5,0.5,450,450,1,1,100.0,225,2
6,0,0.0,0,0,0,0,100.0,0,6
38,0,1.0,0,0,0,0,90.7,30,38
20,0,0.0,20,0,1,0,100.0,0,19
6,0,0.0,0,0,0,0,100.0,0,6
142,9,0.5,0,0,0,0,100.0,0,142
237,14,1.0,0,0,0,0,100.0,0,237
38,0,1.0,0,0,0,0,90.7,30,38
142,9,0.5,0,0,0,0,100.0,0,142
